acc_x_time,data_2,roll,pitch,yaw,acc_x_data,acc_y_data,acc_z_data,gyro_x_data,gyro_y_data,gyro_z_data,force,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23
91330.0,36.0,2.8158233,65.25822,-142.28535,-7.9264216,4.2317896,4.314425,-0.49353263,-0.36565474,0.23253584,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91340.0,36.0,3.3265672,65.19246,-141.80957,-9.240172,3.4765139,4.480354,-0.27615646,-0.30753976,0.27487925,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91350.0,38.0,3.932192,65.32584,-141.31519,-10.0587,2.3196478,4.6749253,-0.08486775,-0.1515378,0.30617827,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91360.0,40.0,4.5406995,65.69665,-140.87798,-10.303027,1.016461,4.8161836,0.077460185,0.10146559,0.30780166,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91370.0,39.0,5.0072083,66.29417,-140.61008,-9.964058,-0.26827234,4.679681,0.20071828,0.41777515,0.2587264,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91380.0,40.0,5.20755,67.068306,-140.59073,-9.169559,-1.2479547,4.4394016,0.25864702,0.7405091,0.14471132,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91390.0,44.0,5.1505256,67.93885,-140.76962,-8.141271,-1.8808991,4.1931205,0.2545098,1.0259243,0.0006491348,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91400.0,43.0,4.844571,68.79057,-141.10504,-7.0443845,-2.1382535,3.9668863,0.18747103,1.2185458,-0.11803882,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91410.0,42.0,4.232376,69.50469,-141.66379,-6.040269,-1.9487408,3.7898898,0.071093746,1.2709802,-0.23037207,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91420.0,40.0,3.3684607,69.99715,-142.42982,-5.240697,-1.4430176,3.7252088,-0.047347613,1.1642262,-0.3359282,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91430.0,40.0,2.381522,70.241745,-143.29848,-4.8298054,-0.795876,3.8165913,-0.14281301,0.9353503,-0.4164558,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91440.0,45.0,1.4037263,70.25675,-144.15276,-4.812249,-0.1504754,3.9090097,-0.20910001,0.6309008,-0.4594831,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91450.0,45.0,0.50278246,70.101974,-144.93454,-5.145835,0.3178648,3.9904838,-0.24522844,0.315687,-0.46518114,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91460.0,41.0,-0.3368157,69.84399,-145.66924,-5.837308,0.6464525,4.056357,-0.25933492,0.03900365,-0.4569335,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91470.0,45.0,-1.1300714,69.5414,-146.37866,-6.6802897,0.87714577,4.052598,-0.25352088,-0.17270803,-0.45131874,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91480.0,42.0,-1.8182437,69.2596,-147.02592,-7.4675364,0.9427335,3.9837725,-0.23499429,-0.30946407,-0.4472735,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91490.0,43.0,-2.407284,69.05097,-147.62212,-8.14868,0.8214128,3.9031177,-0.16751574,-0.34338692,-0.4196344,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91500.0,41.0,-3.0524101,68.90444,-148.2748,-8.547016,0.67285293,3.8853009,-0.12706456,-0.31518564,-0.41719013,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91510.0,39.0,-3.7296424,68.82115,-148.95642,-8.783049,0.6947209,3.7881575,-0.10701132,-0.26293316,-0.42915842,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91520.0,35.0,-4.3547773,68.81896,-149.62257,-8.78421,0.7706034,3.7437127,-0.09524124,-0.17084607,-0.43187484,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91530.0,36.0,-4.879585,68.85496,-150.27934,-8.542184,0.77390003,3.7518966,-0.021569075,-0.064883806,-0.42362505,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91540.0,35.0,-5.375034,68.86715,-150.96063,-8.23296,0.54599917,3.5789847,0.07666337,-0.00917279,-0.42268816,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91550.0,34.0,-5.900721,68.82666,-151.68228,-7.9883413,0.42568836,3.5940647,0.14387475,0.0043841116,-0.43355417,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91560.0,29.0,-6.4463377,68.69471,-152.42389,-7.754138,0.28376248,3.5953596,0.18685237,-0.038431626,-0.45581317,0.48839924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91570.0,32.0,-6.974446,68.46487,-153.14622,-7.6458707,0.1821261,3.5632253,0.20788172,-0.13466609,-0.47646084,0.4273494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91580.0,30.0,-7.4559474,68.1629,-153.83516,-7.71742,0.038096398,3.5791094,0.22749431,-0.24708024,-0.4917145,0.4273494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91590.0,27.0,-7.885633,67.81785,-154.48965,-7.888606,-0.11812314,3.484722,0.2534583,-0.3533951,-0.49997145,0.36629918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91600.0,32.0,-8.264529,67.465744,-155.10326,-8.166499,-0.28842187,3.3924525,0.27910477,-0.43237236,-0.5045668,0.36629918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91610.0,28.0,-8.589692,67.13324,-155.65823,-8.469692,-0.46458444,3.2111995,0.30001232,-0.47124472,-0.49329174,0.305249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91620.0,30.0,-8.894401,66.81925,-156.17027,-8.757454,-0.5571161,3.0948298,0.302569,-0.4793681,-0.47437772,0.305249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91630.0,29.0,-9.142578,66.525604,-156.60783,-8.871523,-0.71205115,3.1065688,0.28526863,-0.47943658,-0.45579028,0.24419913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91640.0,24.0,-9.310245,66.25878,-156.95103,-8.951592,-0.7234558,3.1665618,0.2823956,-0.4576945,-0.40575975,0.18314897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91650.0,27.0,-9.466475,65.99869,-157.25826,-8.897279,-0.74705684,3.1994371,0.25682732,-0.4422247,-0.3697554,0.18314897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91660.0,26.0,-9.570212,65.7455,-157.51134,-8.757549,-0.6999329,3.3712919,0.239562,-0.4272646,-0.33199644,0.12209894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91670.0,26.0,-9.616263,65.48366,-157.72676,-8.557159,-0.69208026,3.456788,0.23683994,-0.42025983,-0.29723197,0.12209894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91680.0,28.0,-9.623706,65.195915,-157.9284,-8.35514,-0.68219155,3.5679936,0.2616199,-0.431311,-0.27191457,0.12209894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91690.0,25.0,-9.62104,64.87534,-158.13008,-8.227822,-0.7125147,3.5923407,0.2799938,-0.45923695,-0.26233906,0.061048903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91700.0,27.0,-9.609235,64.5277,-158.32849,-8.1424265,-0.7095497,3.47606,0.3018383,-0.49864632,-0.2573249,0.061048903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91710.0,24.0,-9.610969,64.161606,-158.53061,-8.176832,-0.7168843,3.399041,0.30911267,-0.5338493,-0.26046273,0.061048903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91720.0,26.0,-9.608093,63.775177,-158.71552,-8.26834,-0.70868254,3.373665,0.30474818,-0.569068,-0.26227516,0.061048903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91730.0,24.0,-9.580807,63.36817,-158.86835,-8.380724,-0.72352,3.3537767,0.29691055,-0.6058032,-0.25893283,0.061048903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91740.0,26.0,-9.524841,62.95069,-158.98193,-8.567049,-0.67974114,3.3417237,0.29153308,-0.6437644,-0.2472414,0.061048903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
